Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,8.460000,8.650000,8.330000,8.480000,7.628452,48800
2019-01-28,8.470000,8.750000,8.350000,8.670000,7.799374,68500
2019-02-04,8.700000,8.870000,8.350000,8.380000,7.538494,88200
2019-02-11,8.470000,8.600000,8.150000,8.420000,7.574477,149800
2019-02-18,8.490000,8.500000,7.950000,8.480000,7.628452,50900
2019-02-25,8.700000,9.150000,8.470000,8.800000,7.916321,104800
2019-03-04,8.560000,9.120000,8.290000,8.990000,8.087239,132900
2019-03-11,9.080000,9.080000,7.000000,7.640000,6.872804,532700
2019-03-18,7.640000,7.660000,6.950000,7.020000,6.315063,1415700
2019-03-25,7.060000,7.640000,6.950000,7.280000,6.548954,780600
2019-04-01,7.280000,7.380000,7.010000,7.090000,6.378035,892900
2019-04-08,7.060000,7.380000,7.060000,7.210000,6.485985,481500
2019-04-15,7.250000,7.250000,7.090000,7.110000,6.396027,246800
2019-04-22,7.130000,7.300000,6.970000,7.250000,6.521967,294400
2019-04-29,7.140000,7.290000,6.990000,7.240000,6.512972,213900
2019-05-06,7.130000,7.290000,6.900000,7.030000,6.448584,332300
2019-05-13,7.000000,7.110000,6.930000,7.000000,6.421065,301500
2019-05-20,6.990000,7.000000,6.210000,6.670000,6.118359,244500
2019-05-27,6.610000,7.380000,6.520000,7.170000,6.577005,699600
2019-06-03,7.170000,7.170000,6.630000,6.780000,6.219260,267400
2019-06-10,6.780000,6.800000,6.480000,6.480000,5.944072,132900
2019-06-17,6.500000,6.710000,6.170000,6.400000,5.870688,312900
2019-06-24,6.360000,6.530000,6.080000,6.490000,5.953245,389600
2019-07-01,7.000000,7.300000,6.850000,6.880000,6.310989,411100
2019-07-08,6.940000,7.450000,6.850000,7.400000,6.787983,336300
2019-07-15,7.400000,7.790000,7.150000,7.460000,6.843021,408300
2019-07-22,7.530000,7.590000,7.050000,7.280000,6.677908,166400
2019-07-29,7.300000,7.390000,6.850000,7.090000,6.503623,259500
2019-08-05,7.000000,7.820000,6.810000,7.390000,6.914193,469800
2019-08-12,7.310000,7.560000,7.210000,7.240000,6.773851,233000
2019-08-19,7.240000,7.370000,7.090000,7.180000,6.717714,142500
2019-08-26,7.160000,7.200000,6.850000,7.170000,6.708358,204000
2019-09-02,7.190000,7.240000,6.940000,7.190000,6.727070,130100
2019-09-09,7.240000,7.550000,7.070000,7.410000,6.932905,176300
2019-09-16,7.400000,7.940000,7.320000,7.840000,7.335219,476900
2019-09-23,7.840000,8.100000,7.550000,8.010000,7.494274,341100
2019-09-30,8.030000,8.240000,7.360000,7.610000,7.120028,388500
2019-10-07,7.650000,7.780000,7.500000,7.680000,7.185521,165900
2019-10-14,7.610000,7.950000,7.610000,7.850000,7.344575,247700
2019-10-21,7.840000,8.310000,7.820000,8.300000,7.765602,259400
2019-10-28,8.350000,8.630000,8.130000,8.480000,7.934011,309200
2019-11-04,8.440000,8.930000,8.250000,8.530000,7.980794,439700
2019-11-11,8.570000,8.570000,7.750000,7.850000,7.344575,412600
2019-11-18,7.760000,8.240000,7.710000,7.970000,7.456849,306700
2019-11-25,7.950000,8.210000,7.790000,8.010000,7.494274,249500
2019-12-02,8.000000,8.500000,7.860000,8.360000,7.960879,446700
2019-12-09,8.200000,8.430000,8.030000,8.200000,7.808520,208800
2019-12-16,8.240000,8.260000,7.980000,7.980000,7.599023,165700
2019-12-23,8.000000,8.290000,7.960000,7.990000,7.608545,192900
2019-12-30,7.980000,8.290000,7.950000,7.960000,7.579978,158700
2020-01-06,7.990000,8.090000,7.750000,7.960000,7.579978,158700
2020-01-13,7.970000,8.030000,7.760000,7.870000,7.494274,223000
2020-01-20,7.910000,8.090000,7.590000,8.030000,7.646636,267700
2020-01-27,7.820000,8.080000,7.550000,7.570000,7.208596,145300
2020-02-03,7.610000,7.870000,7.500000,7.760000,7.389527,116500
2020-02-10,7.790000,8.100000,7.740000,8.040000,7.656159,112900
2020-02-17,8.060000,8.130000,7.840000,7.840000,7.465707,106800
2020-02-24,7.770000,7.830000,6.430000,7.290000,6.941964,383600
2020-03-02,6.990000,7.050000,4.400000,5.100000,4.856518,968500
2020-03-09,5.150000,5.410000,3.800000,3.920000,3.732854,672700
2020-03-16,3.810000,5.250000,2.150000,2.610000,2.485394,794100
2020-03-23,2.540000,4.410000,2.210000,4.300000,4.094711,597600
2020-03-30,4.340000,4.940000,2.800000,2.800000,2.666324,334500
2020-04-06,2.940000,3.590000,2.940000,3.480000,3.335579,274300
2020-04-13,3.540000,3.620000,3.080000,3.270000,3.134295,329000
2020-04-20,3.240000,3.530000,3.020000,3.360000,3.220559,190800
2020-04-27,3.480000,4.210000,3.380000,4.090000,3.920264,344800
2020-05-04,4.030000,4.400000,3.650000,4.170000,3.996944,447400
2020-05-11,4.210000,4.530000,3.480000,3.510000,3.364334,325200
2020-05-18,3.520000,3.750000,3.450000,3.710000,3.556035,152100
2020-05-25,3.810000,5.210000,3.690000,4.910000,4.706235,536800
2020-06-01,5.200000,5.740000,4.710000,5.530000,5.300505,966500
2020-06-08,5.680000,5.710000,4.750000,4.800000,4.600799,573500
2020-06-15,4.710000,5.340000,4.600000,5.230000,5.012955,404500
