Tipo_aviso;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre
OBRAS;INIC ENPT GERE;Año;1642746;19892454;2010-02-24 00:00:00;2010-02-24 00:00:00;2011-08-12 00:00:00
OBRAS;INIC ENPT GERE;Año;1642746;19892454;2010-02-24 00:00:00;2010-03-26 00:00:00;2011-08-12 00:00:00
VEGETACIÓN;INIC TAMB GERE;Dos años;2403089;19892490;2018-06-27 00:00:00;2018-08-09 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC TAMB GERE;Dos años;2403089;19892490;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC TAMB GERE;Dos años;2403088;19892490;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC TAMB GERE;Dos años;2403088;19892490;2018-06-27 00:00:00;2019-02-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC GEAM GPRE;Dos años;2403087;19892489;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC GEAM GPRE;Dos años;2403087;19892489;2018-06-27 00:00:00;2018-07-19 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM PRER;Dos años;2403092;19891964;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM PRER;Dos años;2403092;19891964;2018-06-27 00:00:00;2018-07-07 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403091;19891964;2018-06-27 00:00:00;2018-07-18 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403091;19891964;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2403090;19891964;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2403090;19891964;2018-06-27 00:00:00;2018-08-10 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403093;19891957;2018-06-27 00:00:00;2018-07-07 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403093;19891957;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403113;19891943;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
