Tipo_aviso;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre;Serie;Norte;Este;Depto;Municipio;Vereda;Cia
OBRAS;INIC ENPT GERE;Año;1642746;19892454;2010-02-24 00:00:00;2010-02-24 00:00:00;2011-08-12 00:00:00;1995;1014942,25;1080236,75;CUNDINAMARCA;UBALÁ;BOCA DE MONTE;Zen
OBRAS;INIC ENPT GERE;Año;1642746;19892454;2010-02-24 00:00:00;2010-03-26 00:00:00;2011-08-12 00:00:00;1995;1014942,25;1080236,75;CUNDINAMARCA;UBALÁ;BOCA DE MONTE;Zen
VEGETACIÓN;INIC ENPT GERE;Año;2742399;19892454;2014-03-08 00:00:00;2014-03-08 00:00:00;2015-06-10 00:00:00;1995;1014942,25;1080236,75;CUNDINAMARCA;UBALÁ;BOCA DE MONTE;Zen
VEGETACIÓN;INIC GERE;Año;2987101;19892454;2013-09-25 00:00:00;2013-09-25 00:00:00;2015-12-09 00:00:00;1995;1014942,25;1080236,75;CUNDINAMARCA;UBALÁ;BOCA DE MONTE;Zen
VEGETACIÓN;INIC TAMB GERE;Dos años;2403089;19892490;2018-06-27 00:00:00;2018-08-09 00:00:00;1970-01-01 00:00:00;1947;1029633,967;1093958,815;BOYACÁ;SANTA MARÍA;CALICHANA;Zen
VEGETACIÓN;INIC TAMB GERE;Dos años;2403089;19892490;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00;1947;1029633,967;1093958,815;BOYACÁ;SANTA MARÍA;CALICHANA;Zen
VEGETACIÓN;INIC TAMB GERE;Dos años;2403088;19892490;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00;1947;1029633,967;1093958,815;BOYACÁ;SANTA MARÍA;CALICHANA;Zen
VEGETACIÓN;INIC TAMB GERE;Dos años;2403088;19892490;2018-06-27 00:00:00;2019-02-27 00:00:00;1970-01-01 00:00:00;1947;1029633,967;1093958,815;BOYACÁ;SANTA MARÍA;CALICHANA;Zen
VEGETACIÓN;INIC GEAM GPRE;Dos años;2403087;19892489;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00;1948;1029181,063;1093803,5;BOYACÁ;SANTA MARÍA;SAN AGUSTÍN;Zen
VEGETACIÓN;INIC GEAM GPRE;Dos años;2403087;19892489;2018-06-27 00:00:00;2018-07-19 00:00:00;1970-01-01 00:00:00;1948;1029181,063;1093803,5;BOYACÁ;SANTA MARÍA;SAN AGUSTÍN;Zen
OBRAS;COPL GERE;Año;1661445;19892489;2009-09-19 00:00:00;2009-10-29 00:00:00;2013-08-04 00:00:00;1948;1029181,063;1093803,5;BOYACÁ;SANTA MARÍA;SAN AGUSTÍN;Zen
PERMISO INGRESO;INIC ENPT GERE;Semestre;2410494;19892489;2018-05-10 00:00:00;2018-10-19 00:00:00;2019-02-15 00:00:00;1948;1029181,063;1093803,5;BOYACÁ;SANTA MARÍA;SAN AGUSTÍN;Zen
PERMISO INGRESO;INIC ENPT GERE;Semestre;2410494;19892489;2018-05-10 00:00:00;2018-05-10 00:00:00;2019-02-15 00:00:00;1948;1029181,063;1093803,5;BOYACÁ;SANTA MARÍA;SAN AGUSTÍN;Zen
PERMISO INGRESO;INIC ENPT GERE;Año;1522027;19892489;2011-02-09 00:00:00;2011-02-09 00:00:00;2011-08-20 00:00:00;1948;1029181,063;1093803,5;BOYACÁ;SANTA MARÍA;SAN AGUSTÍN;Zen
VEGETACIÓN;INIC ENPT GERE;Año;1118538;19892489;2012-05-19 00:00:00;2012-05-19 00:00:00;2012-12-06 00:00:00;1948;1029181,063;1093803,5;BOYACÁ;SANTA MARÍA;SAN AGUSTÍN;Zen
CONSTRUCCIONES;INIC GEAM;Seis años;2995471;19892489;2013-08-10 00:00:00;2013-08-10 00:00:00;1970-01-01 00:00:00;1948;1029181,063;1093803,5;BOYACÁ;SANTA MARÍA;SAN AGUSTÍN;Zen
